942.1hPa	キュウヒャクヨンジュウニテンイチヘクトパスカル
京都市南寝小屋町	キョウトシミナミネコヤチョウ
京都市南橋詰町	キョウトシミナミハシヅメチョウ
京都市南浜町	キョウトシミナミハマチョウ
京都市南不動堂町	キョウトシミナミフドンドウチョウ
京都市南舟橋町	キョウトシミナミフナハシチョウ
京都市南門前町	キョウトシミナミモンゼンチョウ
京都市南八百屋町	キョウトシミナミヤオヤチョウ
京都市美濃屋町	キョウトシミノヤチョウ
京都市壬生相合町	キョウトシミブアイアイチョウ
京都市壬生天池町	キョウトシミブアマガイケチョウ
京都市壬生上大竹町	キョウトシミブカミオオタケチョウ
京都市壬生賀陽御所町	キョウトシミブカヨウゴショチョウ
京都市壬生御所ノ内町	キョウトシミブゴショノウチチョウ
京都市壬生下溝町	キョウトシミブシモミゾチョウ
京都市壬生朱雀町	キョウトシミブシュジャクチョウ
京都市壬生神明町	キョウトシミブシンメイチョウ
京都市壬生仙念町	キョウトシミブセンネンチョウ
京都市壬生高樋町	キョウトシミブタカヒチョウ
京都市壬生辻町	キョウトシミブツジマチ
京都市壬生土居ノ内町	キョウトシミブドイノウチチョウ
京都市壬生中川町	キョウトシミブナカガワチョウ
京都市壬生梛ノ宮町	キョウトシミブナギノミヤチョウ
京都市壬生西大竹町	キョウトシミブニシオオタケチョウ
京都市壬生西土居ノ内町	キョウトシミブニシドイノウチチョウ
京都市壬生西桧町	キョウトシミブニシヒノキチョウ
京都市壬生花井町	キョウトシミブハナイチョウ
京都市壬生馬場町	キョウトシミブバンバチョウ
京都市壬生東大竹町	キョウトシミブヒガシオオタケチョウ
京都市壬生東高田町	キョウトシミブヒガシタカダチョウ
京都市壬生東土居ノ内町	キョウトシミブヒガシドイノウチチョウ
京都市壬生東桧町	キョウトシミブヒガシヒノキチョウ
京都市壬生東淵田町	キョウトシミブヒガシフチダチョウ
京都市壬生桧町	キョウトシミブヒノキチョウ
京都市壬生淵田町	キョウトシミブフチダチョウ
京都市壬生坊城町	キョウトシミブボウジョウチョウ
京都市壬生松原町	キョウトシミブマツバラチョウ
京都市壬生森前町	キョウトシミブモリマエチョウ
京都市壬生森町	キョウトシミブモリマチ
京都市宮垣町	キョウトシミヤガキチョウ
京都市宮川筋	キョウトシミヤガワスジ
京都市宮木町	キョウトシミヤギチョウ
京都市宮本町	キョウトシミヤモトチョウ
京都市妙顕寺前町	キョウトシミョウケンジマエチョウ
京都市妙伝寺町	キョウトシミョウデンジチョウ
京都市妙法院前側町	キョウトシミョウホウインマエカワチョウ
京都市妙満寺町	キョウトシミョウマンジチョウ
京都市妙満寺前町	キョウトシミョウマンジマエチョウ
京都市妙蓮寺前町	キョウトシミョウレンジマエチョウ
京都市三吉町	キョウトシミヨシチョウ
京都市三芳町	キョウトシミヨシチョウ
京都市民	キョウトシミン
京都市民映画祭	キョウトシミンエイガサイ
京都市向島上五反田	キョウトシムカイジマカミゴタンダ
京都市向島上林町	キョウトシムカイジマカンバヤシチョウ
京都市向島庚申町	キョウトシムカイジマコウシンチョウ
京都市向島清水町	キョウトシムカイジマシミズチョウ
京都市向島下五反田	キョウトシムカイジマシモゴタンダ
京都市向島下之町	キョウトシムカイジマシモノチョウ
京都市向島新上林	キョウトシムカイジマシンカンバヤシ
京都市向島吹田河原町	キョウトシムカイジマスイタガワラチョウ
京都市向島善阿弥町	キョウトシムカイジマゼンアミチョウ
京都市向島鷹場町	キョウトシムカイジマタカバチョウ
京都市向島立河原町	キョウトシムカイジマタテガワラチョウ
京都市向島大黒	キョウトシムカイジマダイコク
京都市向島津田町	キョウトシムカイジマツダチョウ
京都市向島東泉寺町	キョウトシムカイジマトウセンジチョウ
京都市向島中島町	キョウトシムカイジマナカジマチョウ
京都市向島中之町	キョウトシムカイジマナカノチョウ
京都市向島西定請	キョウトシムカイジマニシジョウウケ
京都市向島西堤町	キョウトシムカイジマニシツツミチョウ
京都市向島二ノ丸町	キョウトシムカイジマニノマルチョウ
京都市向島二本柳	キョウトシムカイジマニホンヤナギ
京都市向島橋詰町	キョウトシムカイジマハシヅメチョウ
京都市向島東定請	キョウトシムカイジマヒガシジョウウケ
京都市向島藤ノ木町	キョウトシムカイジマフジノキチョウ
京都市向島本丸町	キョウトシムカイジマホンマルチョウ
京都市向島又兵衛	キョウトシムカイジママタベエ
京都市向島丸町	キョウトシムカイジママルマチ
京都市向島四ツ谷池	キョウトシムカイジマヨツヤイケ
京都市向島渡シ場町	キョウトシムカイジマワタシバチョウ
京都市百足屋町	キョウトシムカデヤチョウ
京都市武者小路町	キョウトシムシャコウジチョウ
京都市村上町	キョウトシムラカミチョウ
京都市村雲町	キョウトシムラクモチョウ
京都市紫野今宮町	キョウトシムラサキノイマミヤチョウ
京都市紫野上野町	キョウトシムラサキノウエノチョウ
京都市紫野雲林院町	キョウトシムラサキノウンリンインチョウ
京都市紫野上柏野町	キョウトシムラサキノカミカシワノチョウ
京都市紫野上御所田町	キョウトシムラサキノカミゴショデンチョウ
京都市紫野上石龍町	キョウトシムラサキノカミセキリュウチョウ
京都市紫野上築山町	キョウトシムラサキノカミツキヤマチョウ
京都市紫野上鳥田町	キョウトシムラサキノカミトリダチョウ
京都市紫野上御輿町	キョウトシムラサキノカミミコシチョウ
京都市紫野上門前町	キョウトシムラサキノカミモンゼンチョウ
京都市紫野上柳町	キョウトシムラサキノカミヤナギチョウ
京都市紫野上若草町	キョウトシムラサキノカミワカクサチョウ
京都市紫野北花ノ坊町	キョウトシムラサキノキタハナノボウチョウ
京都市紫野北舟岡町	キョウトシムラサキノキタフナオカチョウ
京都市紫野郷ノ上町	キョウトシムラサキノゴウノウエチョウ
京都市紫野下柏野町	キョウトシムラサキノシモカシワノチョウ
京都市紫野下石龍町	キョウトシムラサキノシモセキリュウチョウ
京都市紫野下築山町	キョウトシムラサキノシモツキヤマチョウ
京都市紫野下鳥田町	キョウトシムラサキノシモトリダチョウ
京都市紫野下御輿町	キョウトシムラサキノシモミコシチョウ
京都市紫野下門前町	キョウトシムラサキノシモモンゼンチョウ
京都市紫野下柳町	キョウトシムラサキノシモヤナギチョウ
京都市紫野下若草町	キョウトシムラサキノシモワカクサチョウ
京都市紫野十二坊町	キョウトシムラサキノジュウニボウチョウ
京都市紫野石龍町	キョウトシムラサキノセキリュウチョウ
